iter	Logloss
0	0.6928120797
1	0.6923683865
2	0.6920683562
3	0.6917749214
4	0.6915266174
5	0.6912345712
6	0.690971098
7	0.6906613207
8	0.6903668542
9	0.6901752211
10	0.6899621013
11	0.6897615489
12	0.6894811322
13	0.6891838123
14	0.6889854779
15	0.6888196343
16	0.6887018512
17	0.6885354523
18	0.6883954905
19	0.6882167241
20	0.6881182291
21	0.6879382014
22	0.6877752833
23	0.6876457948
24	0.6875518994
25	0.6874251581
26	0.6873062339
27	0.687169344
28	0.6870882749
29	0.6869946044
30	0.6869042529
31	0.6867984465
32	0.6866918914
33	0.6865546569
34	0.6864334784
35	0.6863375841
36	0.6862665206
37	0.6861278676
38	0.686025623
39	0.6858716271
40	0.6857815767
41	0.6856810324
42	0.6855463298
43	0.6854755128
44	0.6853305736
45	0.6852693421
46	0.6850845758
47	0.6850030075
48	0.6848919731
49	0.6847037615
50	0.6845354158
51	0.6843949729
52	0.6843289437
53	0.6842642209
54	0.6841721453
55	0.6840993685
56	0.6839857395
57	0.6839139851
58	0.6838401344
59	0.6837713934
60	0.6836968779
61	0.6835866958
62	0.6835123071
63	0.6834073693
64	0.6833106968
65	0.683177305
66	0.6830483589
67	0.682985374
68	0.6829012117
69	0.6828336652
70	0.6827586483
71	0.6826823134
72	0.6826184005
73	0.6825501117
74	0.6824597244
75	0.6823914847
76	0.6823131906
77	0.6822534672
78	0.6821370899
79	0.6820732733
80	0.681926332
81	0.681860283
82	0.6818165997
83	0.6817409266
84	0.6816666061
85	0.6816068078
86	0.6815523537
87	0.6814809594
88	0.6814196879
89	0.6813651047
90	0.681331697
91	0.6812620676
92	0.6811779846
93	0.6811184551
94	0.6810565015
95	0.6810026439
96	0.6809282535
97	0.6808692668
98	0.6808294539
99	0.6806995463
100	0.6806773414
101	0.6806053167
102	0.6805515067
103	0.6805091181
104	0.6804230716
105	0.6803647538
106	0.6803169255
107	0.6802441073
108	0.6801471713
109	0.6801052014
110	0.6800277099
111	0.6799539558
112	0.6798945227
113	0.6798326021
114	0.6797732718
115	0.679678204
116	0.6796153161
117	0.6795439551
118	0.6794864319
119	0.6794273082
120	0.6793761202
121	0.6793195164
122	0.6792682106
123	0.6792041943
124	0.6791536985
125	0.6791169204
126	0.6790544702
127	0.6790168285
128	0.6789649269
129	0.6789199032
130	0.6788774892
131	0.6788116221
132	0.6787650771
133	0.678715027
134	0.6786237166
135	0.6785692064
136	0.6785159006
137	0.6784616387
138	0.6784276149
139	0.6783857963
140	0.6783352813
141	0.6782447229
142	0.6782051369
143	0.6781448737
144	0.6781075072
145	0.6780314225
146	0.6779592469
147	0.6779071027
148	0.6778508046
149	0.6777989446
150	0.6777588298
151	0.6777052129
152	0.6776356637
153	0.6775963955
154	0.6775664754
155	0.6775019035
156	0.677458035
157	0.6774384241
158	0.6773884696
159	0.6773271808
160	0.6772757094
161	0.677218177
162	0.6771689884
163	0.6771134019
164	0.6770601519
165	0.6769912381
166	0.6769473911
167	0.676870365
168	0.6768087811
169	0.6767555212
170	0.6766890952
171	0.6766168497
172	0.6765455646
173	0.6764899242
174	0.6764479216
175	0.676415895
176	0.676363356
177	0.6763134293
178	0.6762800192
179	0.6762554639
180	0.6762115817
181	0.6761808586
182	0.6761324661
183	0.6760738699
184	0.6760167399
185	0.675952706
186	0.6758906431
187	0.6758187644
188	0.6757823235
189	0.6757206982
190	0.6756827299
191	0.6756124015
192	0.6755722652
193	0.6755108024
194	0.675467581
195	0.6754481687
196	0.6753390907
197	0.6752971919
198	0.6752637225
199	0.6752249164
200	0.675174194
201	0.6751419051
202	0.6750896229
203	0.6750446624
204	0.6749826673
205	0.6749439967
206	0.6748818205
207	0.6748508163
208	0.6748167394
209	0.6747654526
210	0.6747373119
211	0.6747091621
212	0.6746733188
213	0.6746297548
214	0.6746034603
215	0.6745147065
216	0.6744577299
217	0.6744002361
218	0.6743366297
219	0.6742944855
220	0.6742544906
221	0.6741958351
222	0.6741509747
223	0.6741068725
224	0.6740492806
225	0.6739920808
226	0.6739047244
227	0.6738501159
228	0.673786804
229	0.6737330085
230	0.6736976237
231	0.6736306279
232	0.6735810927
233	0.6735316959
234	0.6734820228
235	0.6734346841
236	0.6733501625
237	0.6732934218
238	0.6732346987
239	0.6731732591
240	0.6731132768
241	0.6730552415
242	0.6729813977
243	0.672883499
244	0.6728253701
245	0.672757776
246	0.6726909505
247	0.6726260539
248	0.67257672
249	0.672504829
250	0.6724671763
251	0.6724146789
252	0.6723488734
253	0.6722957449
254	0.6722396085
255	0.6721791423
256	0.6721244161
257	0.6720625622
258	0.6719812277
259	0.6718610633
260	0.6717927186
261	0.6717435689
262	0.6717062503
263	0.6716494489
264	0.6715900047
265	0.6715352429
266	0.6714545857
267	0.6713647138
268	0.6713135311
269	0.6712365806
270	0.6711398303
271	0.6710931783
272	0.6710381269
273	0.6709738018
274	0.6709390316
275	0.6708933815
276	0.6708523599
277	0.6708088339
278	0.6707491002
279	0.6706554262
280	0.6706077562
281	0.6705213739
282	0.6704485003
283	0.6703834149
284	0.6702827243
285	0.6702290732
286	0.6701834814
287	0.6701515457
288	0.6700856687
289	0.6700062635
290	0.6699253236
291	0.6698504844
292	0.6697917723
293	0.6697405116
294	0.6696793815
295	0.669610848
296	0.6695434989
297	0.6695059918
298	0.6694620779
299	0.6693892226
300	0.6693237157
301	0.6692747626
302	0.6692230729
303	0.6691154446
304	0.6690531348
305	0.6690093114
306	0.6689501923
307	0.6689177309
308	0.6688373913
309	0.6687964882
310	0.6687167665
311	0.6686440464
312	0.6685883397
313	0.6684827597
314	0.6684536956
315	0.668384536
316	0.6683179503
317	0.6682412595
318	0.6681910864
319	0.6681063626
320	0.6680182437
321	0.6679418451
322	0.6678872106
323	0.6678532279
324	0.667769982
325	0.6677108427
326	0.6676616221
327	0.6675815584
328	0.6675398089
329	0.6674866299
330	0.667399475
331	0.6673266183
332	0.6672459262
333	0.6671831191
334	0.6671113276
335	0.6670556748
336	0.6669961486
337	0.6669311168
338	0.6668610115
339	0.6667771639
340	0.6667207231
341	0.6666506096
342	0.6665912522
343	0.6665467115
344	0.6664865012
345	0.6664185082
346	0.6663588059
347	0.6662949427
348	0.6662439926
349	0.6661951537
350	0.6661239718
351	0.6660359135
352	0.6659917751
353	0.6659240911
354	0.6658935674
355	0.665846192
356	0.6657533282
357	0.6656842668
358	0.6656289979
359	0.6655417261
360	0.6654651203
361	0.6654216009
362	0.6653617548
363	0.6653011851
364	0.6652520144
365	0.6651679226
366	0.6651097047
367	0.6650676005
368	0.6650116275
369	0.664963253
370	0.6648844986
371	0.6648612242
372	0.6648089157
373	0.6647344036
374	0.6646804405
375	0.6646429676
376	0.6646091241
377	0.6645318096
378	0.6644671198
379	0.6644299712
380	0.6643786576
381	0.664312081
382	0.6642611409
383	0.6642063139
384	0.6641582796
385	0.6640958349
386	0.6640671882
387	0.6640151116
388	0.663955836
389	0.6639106659
390	0.6638426598
391	0.6637827094
392	0.66371905
393	0.6634992585
394	0.6634106523
395	0.6633685803
396	0.6633320843
397	0.663264045
398	0.6632155365
399	0.6631711607
400	0.663117332
401	0.6630603265
402	0.6629914428
403	0.6629467712
404	0.6628847798
405	0.6628030585
406	0.6627513162
407	0.6627181116
408	0.662630409
409	0.6625587228
410	0.6625238803
411	0.662477482
412	0.6624435241
413	0.6624101158
414	0.6623719107
415	0.6623193007
416	0.6622527798
417	0.6622110375
418	0.6621455214
419	0.6621051949
420	0.6620408645
421	0.6620157882
422	0.6619879168
423	0.661938719
424	0.6619098821
425	0.6618741147
426	0.661851458
427	0.6618106699
428	0.6617646096
429	0.6617308703
430	0.661653139
431	0.6616163807
432	0.661575942
433	0.6615283036
434	0.6614685062
435	0.6614001452
436	0.6613733542
437	0.6613331451
438	0.6612955407
439	0.6612294181
440	0.6611877521
441	0.6611332577
442	0.6610702278
443	0.6609875166
444	0.6609410803
445	0.6608607122
446	0.6608035058
447	0.6607484206
448	0.660716467
449	0.6605775694
450	0.6605368642
451	0.6604611629
452	0.6604384683
453	0.6604053481
454	0.6603710781
455	0.6603017589
456	0.6602345504
457	0.6602042409
458	0.6601634087
459	0.6601474734
460	0.6600794012
461	0.6600345689
462	0.6600100914
463	0.6599505341
464	0.6598971602
465	0.6598377185
466	0.659779379
467	0.6597085446
468	0.6596517326
469	0.6596221603
470	0.6595799983
471	0.6595624659
472	0.6594851521
473	0.6594036786
474	0.6593574908
475	0.6592964961
476	0.6592637051
477	0.6592194213
478	0.659180937
479	0.6591442772
480	0.6590954124
481	0.659051604
482	0.6589939306
483	0.6589520523
484	0.6588929867
485	0.6588757629
486	0.6587974753
487	0.6587461576
488	0.6587224291
489	0.6586810749
490	0.6586447366
491	0.6585888936
492	0.6585156771
493	0.6584540344
494	0.6583993455
495	0.6583660203
496	0.6582943944
497	0.6582422986
498	0.6582027239
499	0.6581512141
500	0.658113002
501	0.6580604488
502	0.6580194072
503	0.6579832166
504	0.6579275649
505	0.6579005648
506	0.657829195
507	0.6577849581
508	0.6577648219
509	0.6577377333
510	0.6576941186
511	0.6576473561
512	0.6575769019
513	0.6575290651
514	0.6574520851
515	0.6574057726
516	0.6573273163
517	0.657307014
518	0.6572272669
519	0.6571548097
520	0.6571173341
521	0.6570519031
522	0.6570134351
523	0.6569378398
524	0.6568134096
525	0.6567051243
526	0.6566511257
527	0.6566099239
528	0.6565656651
529	0.6564892247
530	0.6564709867
531	0.6564171027
532	0.6563609876
533	0.6563164859
534	0.6562930555
535	0.65622514
536	0.6561876331
537	0.6561223262
538	0.6560628223
539	0.6560093379
540	0.6559680768
541	0.6559228562
542	0.6558998975
543	0.6558348529
544	0.6558035926
545	0.6557727489
546	0.65574391
547	0.6557153086
548	0.6556407569
549	0.6555699022
550	0.6555153318
551	0.6554564324
552	0.6554026256
553	0.6553686534
554	0.6553442039
555	0.6553090976
556	0.6552604607
557	0.6552297002
